country,year,depression
Bosnia and Herzegovina,2000,4.77
Bosnia and Herzegovina,2015,5.07
Botswana,1995,4.06
Botswana,2005,4.38
Botswana,2000,4.24
Botswana,2015,4.66
Brazil,1995,5.04
Brazil,2005,5.75
Brazil,2000,5.55
Brazil,2015,5.76
Brunei,2005,3.87
Brunei,1995,3.63
Brunei,2000,3.76
Brunei,2015,4.03
Bulgaria,2005,5.09
Bulgaria,1995,4.87
Bulgaria,2000,5
Bulgaria,2015,5.16
Burkina Faso,1995,3.55
Burkina Faso,2000,3.56
Burkina Faso,2005,3.56
Burkina Faso,2015,3.61
Burundi,1995,3.93
Burundi,2005,4.1
Burundi,2000,3.93
Burundi,2015,4.22
Cambodia,2005,3.08
Cambodia,1995,2.74
Cambodia,2000,2.88
Cambodia,2015,3.4
Cameroon,1995,3.72
Cameroon,2000,3.74
Cameroon,2005,3.76
Cameroon,2015,3.88
Canada,1995,4.51
Canada,2005,4.56
Canada,2000,4.52
Canada,2015,4.65
Cape Verde,1995,4.05
Cape Verde,2000,4.18
Cape Verde,2005,4.46
Cape Verde,2015,4.93
CAR,1995,4.01
CAR,2005,4.02
CAR,2000,4.04
CAR,2015,4.19
Chad,1995,3.57
Chad,2000,3.52
Chad,2005,3.49
Chad,2015,3.5
Chile,1995,4.65
Chile,2005,4.82
Chile,2000,4.76
Chile,2015,5.01
China,2005,3.83
China,2000,3.58
China,1995,3.36
China,2015,4.17
Colombia,2005,4.49
Colombia,1995,4.18
Colombia,2000,4.38
Colombia,2015,4.68
Comoros,1995,4.12
Comoros,2000,4.2
Comoros,2005,4.24
Comoros,2015,4.36
Congo,1995,3.99
Congo,2000,4.02
Congo,2005,3.99
Congo,2015,3.95
Costa Rica,1995,4.16
Costa Rica,2005,4.44
Costa Rica,2000,4.29
Costa Rica,2015,4.7
Ivory Coast,1995,3.73
Ivory Coast,2005,3.7
Ivory Coast,2000,3.75
Ivory Coast,2015,3.79
Croatia,2005,5.04
Croatia,1995,4.93
Croatia,2000,4.99
Croatia,2015,5.08
Cuba,1995,5.08
Cuba,2005,5.28
Cuba,2000,5.19
Cuba,2015,5.49
Cyprus,1995,4.62
Cyprus,2005,4.83
Cyprus,2000,4.69
Cyprus,2015,5.06
Czech Republic,2005,5.13
Czech Republic,1995,4.92
Czech Republic,2000,5.06
Czech Republic,2015,5.16
Democratic Republic of the Congo,1995,3.82
Democratic Republic of the Congo,2000,3.77
Democratic Republic of the Congo,2005,3.76
Democratic Republic of the Congo,2015,3.77
Denmark,1995,5.06
Denmark,2005,4.93
Denmark,2000,4.98
Denmark,2015,4.98
Djibouti,1995,4.4
Djibouti,2000,4.54
Djibouti,2005,4.76
Djibouti,2015,5.07
Dominica,1995,4.52
Dominica,2005,4.79
Dominica,2000,4.67
Dominica,2015,4.96
Dominican Republic,1995,4.22
Dominican Republic,2005,4.44
Dominican Republic,2000,4.34
Dominican Republic,2015,4.66
Ecuador,2005,4.36
Ecuador,1995,4.15
Ecuador,2000,4.25
Ecuador,2015,4.59
Egypt,1995,3.18
Egypt,2005,3.37
Egypt,2000,3.29
Egypt,2015,3.46
El Salvador,1995,3.81
El Salvador,2005,3.99
El Salvador,2000,3.91
El Salvador,2015,4.4
Equatorial Guinea,1995,4.08
Equatorial Guinea,2000,4.04
Equatorial Guinea,2015,4.18
Equatorial Guinea,2005,4.11
Eritrea,1995,3.9
Eritrea,2000,4.12
Eritrea,2005,4.35
Eritrea,2015,4.33
Estonia,1995,5.6
Estonia,2005,5.96
Estonia,2000,5.85
Estonia,2015,5.91
Ethiopia,1995,4.36
Ethiopia,2000,4.35
Ethiopia,2005,4.36
Ethiopia,2015,4.66
Federated States of Micronesia,2005,2.96
Federated States of Micronesia,1995,2.83
Federated States of Micronesia,2000,2.92
Federated States of Micronesia,2015,3.15
Fiji,2005,3.37
Fiji,1995,3.1
Fiji,2000,3.17
Fiji,2015,3.5
Finland,1995,5.58
Finland,2005,5.63
Finland,2000,5.63
Finland,2015,5.61
France,1995,4.92
France,2005,4.9
France,2000,4.96
France,2015,4.84
Gabon,1995,4.12
Gabon,2000,4.14
Gabon,2005,4.2
Gabon,2015,4.29
Georgia,2005,4.89
Georgia,2000,4.75
Georgia,1995,4.64
Georgia,2015,4.96
Germany,1995,4.99
Germany,2005,5.09
Germany,2000,5.02
Germany,2015,5.19
Ghana,1995,3.88
Ghana,2000,3.95
Ghana,2015,4.15
Ghana,2005,4.03
Greece,1995,5.6
Greece,2005,5.77
Greece,2000,5.68
Greece,2015,5.74
Greenland,1995,4.08
Greenland,2000,4.12
Greenland,2005,4.23
Greenland,2015,4.41
Grenada,1995,4.05
Grenada,2005,4.49
Grenada,2000,4.25
Grenada,2015,4.7
Guam,1995,3.55
Guam,2000,3.59
Guam,2005,3.67
Guam,2015,3.86
Guatemala,2005,3.41
Guatemala,1995,3.29
Guatemala,2000,3.36
Guatemala,2015,3.71
Guinea,1995,3.87
Guinea,2000,3.82
Guinea,2005,3.79
Guinea,2015,3.86
Guinea-Bissau,1995,3.82
Guinea-Bissau,2000,3.86
Guinea-Bissau,2005,3.88
Guinea-Bissau,2015,4.02
Guyana,2005,4.16
Guyana,1995,4.07
Guyana,2000,4.14
Guyana,2015,4.55
Haiti,1995,3.73
Haiti,2005,3.97
Haiti,2000,3.85
Haiti,2015,4.28
Honduras,1995,3.36
Honduras,2005,3.54
Honduras,2000,3.46
Honduras,2015,3.98
Hungary,2005,5.01
Hungary,2000,4.97
Hungary,1995,4.87
Hungary,2015,5.1
Iceland,1995,3.95
Iceland,2005,4.02
Iceland,2000,3.99
Iceland,2015,4.09
India,1995,3.98
India,2005,4.21
India,2000,4.09
India,2015,4.45
Indonesia,2005,3.54
Indonesia,1995,3.33
Indonesia,2000,3.48
Indonesia,2015,3.71
Iran,1995,3.74
Iran,2005,4.53
Iran,2000,4.12
Iran,2015,4.86
Iraq,1995,3.53
Iraq,2005,3.67
Iraq,2000,3.61
Iraq,2015,3.73
Ireland,1995,4.64
Ireland,2005,4.95
Ireland,2000,4.83
Ireland,2015,4.76
Israel,1995,4.65
Israel,2005,4.74
Israel,2000,4.74
Israel,2015,4.61
Italy,1995,5.05
Italy,2005,5.14
Italy,2000,5.15
Italy,2015,5.14
Jamaica,1995,4.33
Jamaica,2005,4.51
Jamaica,2000,4.4
Jamaica,2015,4.82
Japan,1995,4.17
Japan,2005,4.19
Japan,2000,4.18
Japan,2015,4.24
Jordan,1995,3.69
Jordan,2005,3.83
Jordan,2000,3.73
Jordan,2015,4.03
Kazakhstan,2005,4.4
Kazakhstan,2000,4.26
Kazakhstan,1995,4.14
Kazakhstan,2015,4.35
Kenya,1995,4.12
Kenya,2000,4.24
Kenya,2005,4.29
Kenya,2015,4.4
Kiribati,2005,3
Kiribati,1995,2.87
Kiribati,2000,2.93
Kiribati,2015,3.14
Kuwait,1995,4.53
Kuwait,2005,4.71
Kuwait,2000,4.67
Kuwait,2015,5
Kyrgyzstan,2005,4.03
Kyrgyzstan,2000,3.91
Kyrgyzstan,1995,3.76
Kyrgyzstan,2015,4.1
Laos,2005,2.92
Laos,1995,2.79
Laos,2000,2.82
Laos,2015,3.21
Latvia,1995,4.58
Latvia,2005,4.78
Latvia,2000,4.73
Latvia,2015,4.86
Lebanon,1995,4.27
Lebanon,2005,4.48
Lebanon,2000,4.41
Lebanon,2015,4.67
Lesotho,1995,4.49
Lesotho,2005,4.56
Lesotho,2000,4.53
Lesotho,2015,4.77
Liberia,1995,3.38
Liberia,2005,3.45
Liberia,2000,3.52
Liberia,2015,3.5
Libya,1995,3.95
Libya,2005,4.38
Libya,2000,4.22
Libya,2015,4.51
Lithuania,1995,5.13
Lithuania,2005,5.39
Lithuania,2000,5.24
Lithuania,2015,5.62
Luxembourg,1995,5.09
Luxembourg,2005,5.01
Luxembourg,2000,5.02
Luxembourg,2015,5.04
Macedonia,2005,4.78
Macedonia,2000,4.64
Macedonia,1995,4.51
Macedonia,2015,4.95
Madagascar,1995,4.13
Madagascar,2000,4.14
Madagascar,2005,4.13
Madagascar,2015,4.37
Malawi,1995,4.01
Malawi,2000,4
Malawi,2005,3.97
Malawi,2015,4.1
Malaysia,2005,3.52
Malaysia,2000,3.38
Malaysia,1995,3.27
Malaysia,2015,3.81
Maldives,2005,3.31
Maldives,2000,3
Maldives,1995,2.76
Maldives,2015,3.69
Mali,1995,3.66
Mali,2005,3.58
Mali,2000,3.64
Mali,2015,3.57
Malta,1995,4.77
Malta,2005,4.97
Malta,2000,4.84
Malta,2015,5.07
Marshall Islands,2005,2.92
Marshall Islands,1995,2.87
Marshall Islands,2000,2.86
Marshall Islands,2015,3.07
Mauritania,1995,3.9
Mauritania,2000,3.94
Mauritania,2015,4.08
Mauritania,2005,3.99
Mauritius,1995,3.83
Mauritius,2000,3.93
Mauritius,2015,4.35
Mauritius,2005,4.04
Mexico,2005,3.81
Mexico,1995,3.56
Mexico,2000,3.68
Mexico,2015,4.16
Moldova,1995,4.77
Moldova,2005,5.14
Moldova,2000,4.91
Moldova,2015,5.37
Mongolia,2005,4.11
Mongolia,2000,3.84
Mongolia,1995,3.63
Mongolia,2015,4.25
Montenegro,2005,4.75
Montenegro,1995,4.57
Montenegro,2000,4.69
Montenegro,2015,4.84
Morocco,1995,3.96
Morocco,2005,4.34
Morocco,2000,4.14
Morocco,2015,4.53
Mozambique,1995,4.24
Mozambique,2000,4.18
Mozambique,2015,4.1
Mozambique,2005,4.13
Myanmar,2005,3.42
Myanmar,2000,3.36
Myanmar,1995,3.23
Myanmar,2015,3.69
Namibia,1995,4.09
Namibia,2005,4.23
Namibia,2000,4.19
Namibia,2015,4.44
Nepal,1995,2.79
Nepal,2005,2.86
Nepal,2000,2.84
Nepal,2015,3.23
Netherlands,1995,4.73
Netherlands,2005,4.74
Netherlands,2000,4.69
Netherlands,2015,4.69
New Zealand,1995,5.33
New Zealand,2005,5.36
New Zealand,2000,5.33
New Zealand,2015,5.35
Nicaragua,1995,3.46
Nicaragua,2005,3.81
Nicaragua,2000,3.63
Nicaragua,2015,4.18
Niger,1995,3.64
Niger,2000,3.61
Niger,2015,3.42
Niger,2005,3.51
Nigeria,1995,4
Nigeria,2000,4.04
Nigeria,2005,4
Nigeria,2015,3.93
North Korea,2005,3.45
North Korea,1995,3.29
North Korea,2000,3.37
North Korea,2015,3.69
Northern Mariana Islands,1995,3.77
Northern Mariana Islands,2000,3.76
Northern Mariana Islands,2005,3.83
Northern Mariana Islands,2015,3.86
Norway,1995,4.89
Norway,2005,4.72
Norway,2000,4.73
Norway,2015,4.75
Oman,1995,3.67
Oman,2005,3.99
Oman,2000,3.76
Oman,2015,4.66
Pakistan,1995,3.75
Pakistan,2005,3.99
Pakistan,2000,3.84
Pakistan,2015,4.19
Palestine,1995,4.44
Palestine,2005,4.64
Palestine,2000,4.53
Palestine,2015,4.96
Panama,1995,4.03
Panama,2005,4.2
Panama,2015,4.36
Panama,2000,4.13
Papua New Guinea,2005,2.86
Papua New Guinea,2000,2.84
Papua New Guinea,2015,2.98
Papua New Guinea,1995,2.82
Paraguay,1995,4.59
Paraguay,2005,4.91
Paraguay,2000,4.73
Paraguay,2015,5.23
Peru,1995,4.26
Peru,2005,4.5
Peru,2000,4.37
Peru,2015,4.76
Philippines,2005,3.05
Philippines,1995,2.91
Philippines,2000,2.98
Philippines,2015,3.34
Poland,2005,4.89
Poland,1995,4.58
Poland,2000,4.76
Poland,2015,5.07
Portugal,1995,5.52
Portugal,2005,5.67
Portugal,2000,5.58
Portugal,2015,5.67
Puerto Rico,1995,5.02
Puerto Rico,2000,5.11
Puerto Rico,2005,5.19
Puerto Rico,2015,5.36
Qatar,1995,4.59
Qatar,2005,4.82
Qatar,2000,4.68
Qatar,2015,5.07
Romania,2005,4.9
Romania,1995,4.65
Romania,2000,4.81
Romania,2015,4.99
Russia,1995,5.13
Russia,2005,5.42
Russia,2000,5.31
Russia,2015,5.51
Rwanda,1995,3.42
Rwanda,2000,3.64
Rwanda,2005,3.68
Rwanda,2015,3.78
Saint Lucia,1995,4.22
Saint Lucia,2005,4.65
Saint Lucia,2000,4.41
Saint Lucia,2015,4.95
Saint Vincent and the Grenadines,1995,4.25
Saint Vincent and the Grenadines,2005,4.62
Saint Vincent and the Grenadines,2000,4.45
Saint Vincent and the Grenadines,2015,4.86
Samoa,2005,3.06
Samoa,2000,3
Samoa,1995,2.98
Samoa,2015,3.17
Sao Tome and Principe,1995,3.79
Sao Tome and Principe,2000,3.83
Sao Tome and Principe,2005,3.83
Sao Tome and Principe,2015,3.9
Saudi Arabia,1995,3.72
Saudi Arabia,2005,4.16
Saudi Arabia,2000,3.97
Saudi Arabia,2015,4.52
Senegal,1995,3.77
Senegal,2005,3.84
Senegal,2000,3.81
Senegal,2015,3.87
Serbia,2005,4.82
Serbia,2000,4.76
Serbia,1995,4.68
Serbia,2015,4.98
Seychelles,1995,3.51
Seychelles,2000,3.63
Seychelles,2005,3.78
Seychelles,2015,3.96
Sierra Leone,1995,3.73
Sierra Leone,2005,3.76
Sierra Leone,2000,3.73
Sierra Leone,2015,3.88
Singapore,1995,4.51
Singapore,2005,4.51
Singapore,2000,4.55
Singapore,2015,4.57
Slovakia,2005,4.93
Slovakia,2000,4.79
Slovakia,1995,4.63
Slovakia,2015,5.09
Slovenia,2005,5.11
Slovenia,2000,5.04
Slovenia,2015,5.09
Slovenia,1995,4.91
Solomon Islands,2005,2.81
Solomon Islands,1995,2.71
Solomon Islands,2000,2.78
Solomon Islands,2015,2.9
Somalia,1995,4.08
Somalia,2000,4.05
Somalia,2005,3.94
Somalia,2015,3.96
South Africa,1995,4.15
South Africa,2005,4.26
South Africa,2000,4.17
South Africa,2015,4.58
South Korea,1995,4.06
South Korea,2005,3.96
South Korea,2000,4.12
South Korea,2015,4.1
South Sudan,1995,4.17
South Sudan,2005,4.29
South Sudan,2000,4.24
South Sudan,2015,4.42
Spain,1995,5.03
Spain,2005,5.19
Spain,2000,5.19
Spain,2015,5.21
Sri Lanka,2005,3.89
Sri Lanka,1995,3.63
Sri Lanka,2000,3.79
Sri Lanka,2015,4.06
Sudan,1995,3.36
Sudan,2015,3.55
Sudan,2005,3.39
Sudan,2000,3.37
Suriname,1995,4.33
Suriname,2005,4.6
Suriname,2000,4.4
Suriname,2015,4.81
Swaziland,1995,3.67
Swaziland,2000,3.84
Swaziland,2005,3.95
Swaziland,2015,4.19
Sweden,1995,4.87
Sweden,2005,4.88
Sweden,2000,4.86
Sweden,2015,4.88
Switzerland,1995,4.93
Switzerland,2005,4.93
Switzerland,2000,4.86
Switzerland,2015,5
Syria,1995,3.57
Syria,2005,3.82
Syria,2000,3.71
Syria,2015,3.95
Taiwan,2005,3.54
Taiwan,2000,3.36
Taiwan,1995,3.18
Taiwan,2015,3.84
Tajikistan,2005,3.58
Tajikistan,1995,3.33
Tajikistan,2000,3.41
Tajikistan,2015,3.81
Tanzania,1995,4.11
Tanzania,2000,4.11
Tanzania,2015,4.14
Tanzania,2005,4.11
Thailand,2005,4.07
Thailand,1995,3.72
Thailand,2000,3.94
Thailand,2015,4.39
The Bahamas,1995,4.57
The Bahamas,2005,4.95
The Bahamas,2000,4.69
The Bahamas,2015,5.18
Gambia,1995,3.94
Gambia,2000,3.96
Gambia,2005,3.96
Gambia,2015,3.91
East Timor,2005,2.67
East Timor,1995,2.95
East Timor,2000,2.63
East Timor,2015,2.99
Togo,1995,3.73
Togo,2000,3.79
Togo,2015,3.93
Togo,2005,3.83
Tonga,2005,3.14
Tonga,1995,3.08
Tonga,2000,3.09
Tonga,2015,3.18
Trinidad and Tobago,1995,4.58
Trinidad and Tobago,2005,5.08
Trinidad and Tobago,2000,4.85
Trinidad and Tobago,2015,5.18
Tunisia,1995,4.24
Tunisia,2005,4.69
Tunisia,2000,4.48
Tunisia,2015,4.85
Turkey,1995,3.94
Turkey,2005,4.19
Turkey,2000,4.06
Turkey,2015,4.39
Turkmenistan,2005,3.98
Turkmenistan,1995,3.63
Turkmenistan,2000,3.77
Turkmenistan,2015,4.23
Uganda,1995,4.78
Uganda,2000,4.69
Uganda,2015,4.64
Uganda,2005,4.64
Ukraine,2005,6.27
Ukraine,1995,5.94
Ukraine,2000,6.12
Ukraine,2015,6.31
UAE,1995,4.42
UAE,2000,4.5
UAE,2005,4.81
UAE,2015,5.12
United Kingdom,1995,4.29
United Kingdom,2000,4.27
United Kingdom,2005,4.23
United Kingdom,2015,4.46
United States,1995,5.37
United States,2005,5.48
United States,2000,5.35
United States,2015,5.86
Uruguay,1995,4.81
Uruguay,2000,4.83
Uruguay,2005,4.85
Uruguay,2015,4.96
Uzbekistan,2005,4.01
Uzbekistan,1995,3.59
Uzbekistan,2000,3.79
Uzbekistan,2015,4.23
Vanuatu,2005,2.97
Vanuatu,1995,2.86
Vanuatu,2000,2.87
Vanuatu,2015,3.09
Venezuela,1995,3.81
Venezuela,2005,3.99
Venezuela,2000,3.89
Venezuela,2015,4.21
Vietnam,2005,3.68
Vietnam,2000,3.47
Vietnam,1995,3.27
Vietnam,2015,4.01
"Virgin Islands, U.S.",1995,4.92
"Virgin Islands, U.S.",2000,5.01
"Virgin Islands, U.S.",2005,5.21
"Virgin Islands, U.S.",2015,5.29
Yemen,1995,3.12
Yemen,2005,3.27
Yemen,2000,3.14
Yemen,2015,3.57
Zambia,1995,4
Zambia,2000,4
Zambia,2015,4.01
Zambia,2005,3.98
Zimbabwe,1995,3.9
Zimbabwe,2000,3.95
Zimbabwe,2005,3.96
Zimbabwe,2015,4.04
